ID Venta,Fecha,Hora,Producto,Cantidad,Precio Unitario,Total,Método Pago
"sale-1768843907626-o4fyt4fzg","2026-01-19T01:00:00.000Z","00:20","Cerveza Poker 330cm3",3,3500,10500,"efectivo"
"sale-1768845945726-xd9z7cety","2026-01-18T01:00:00.000Z","00:20","Cerveza Budweiser",3,5000,15000,"efectivo"
"sale-1768845945726-xd9z7cety","2026-01-18T01:00:00.000Z","00:20","Cerveza Poker 330cm3",7,4500,31500,"efectivo"
"sale-1768845945726-xd9z7cety","2026-01-18T01:00:00.000Z","00:20","Hervido de fruta de temporada ",2,5000,10000,"efectivo"
"sale-1768845945713-li37b9wsv","2026-01-18T01:00:00.000Z","00:20","Cerveza Budweiser",3,5000,15000,"efectivo"
"sale-1768845945713-li37b9wsv","2026-01-18T01:00:00.000Z","00:20","Cerveza Heineken",6,5000,30000,"efectivo"
"sale-1768845945713-li37b9wsv","2026-01-18T01:00:00.000Z","00:20","Cerveza Poker 330cm3",3,4500,13500,"efectivo"
"sale-1768845945713-li37b9wsv","2026-01-18T01:00:00.000Z","00:20","Cigarrillo",1,1000,1000,"efectivo"
"sale-1768845945713-li37b9wsv","2026-01-18T01:00:00.000Z","00:20","Shot Tequila Olmeca",4,12000,48000,"efectivo"
"sale-1768850597179-ipwv4m24l","2026-01-16T19:22:00.000Z","00:14","Cerveza Poker 330cm3",4,3500,14000,"nequi"
"sale-1768843907628-lxccmynjn","2026-01-16T01:00:00.000Z","00:20","Cerveza Poker 330cm3",3,3500,10500,"efectivo"
"sale-1768705024627-4raapk186","2026-01-16","00:15","Acompañante del día (Empanada, Buñuelo)",1,20000,20000,"No especificado"
"sale-1768705024627-cs79z583x","2026-01-15","00:13","Cerveza Budweiser",3,3500,10500,"No especificado"
"sale-1768705024627-tzxr9niuc","2026-01-14","00:14","Acompañante del día (Empanada, Buñuelo)",1,77000,77000,"nequi"
"sale-1768705024626-vs699m2c3","2026-01-07","00:12","Acompañante del día (Empanada, Buñuelo)",1,15000,15000,"No especificado"
"sale-1768705024626-95rfna5m6","2026-01-06","00:18","Acompañante del día (Empanada, Buñuelo)",1,337000,337000,"No especificado"
"sale-1768705024626-ck918keyd","2026-01-05","00:16","Acompañante del día (Empanada, Buñuelo)",1,196000,196000,"nequi"
"sale-1768705024626-0x84rzh7l","2026-01-04","00:15","Acompañante del día (Empanada, Buñuelo)",1,64000,64000,"No especificado"
"sale-1768705024626-iy1p0xq9u","2026-01-03","00:14","Acompañante del día (Empanada, Buñuelo)",1,69000,69000,"No especificado"
"sale-1768704949501-7fdz4ni4s","2025-12-31","00:12","Café artesanal caliente + pastel del día",4,13000,52000,"nequi"
"sale-1768704949501-fa1ggvb5t","2025-12-31","00:10","Café negro artesanal",1,5000,5000,"efectivo"
"sale-1768704949500-8tdebrg03","2025-12-30","00:20","Cóctel moscowmule",6,7500,45000,"nequi"
"sale-1768704949500-3k5mk2wq3","2025-12-30","00:18","Cerveza Águila 330cm3",1,15000,15000,"nequi"
"sale-1768704949500-7gtzlryoi","2025-12-30","00:18","Cerveza Águila 330cm3",1,20000,20000,"efectivo"
